0;16
48;62
81;82
84;89
98;101
104;106
192;201
204;210
212;218
220;225
227;231
233;238
240;250
252;262
264;268
270;274
276;278
280;286
288;295
297;303
305;307
309;323
325;359
361;363
365;371
373;380
382;389
391;394
396;402
404;406
408;413
415;419
421;425
427;430
432;439
441;458
460;469
472;478
480;486
488;493
495;499
501;506
508;518
520;530
532;536
538;542
544;546
548;554
556;563
565;571
573;575
577;591
593;627
629;631
633;639
641;648
650;657
659;662
664;670
672;674
676;681
683;687
689;693
695;698
700;707
709;726
736;756
784;794
819;819
853;856
867;870
880;907
911;912
918;921
928;947
960;967
976;979
992;995
1008;1011
1024;1027
1040;1042
1056;1058
2064;2066
2068;2068
2070;2081
2083;2083
2085;2093
2095;2106
2304;2326
