fx1_parametric_eq_low_gain;253;1;1
fx1_parametric_eq_low_mid_freq;254;1;1
fx1_parametric_eq_low_mid_q;255;1;1
fx1_parametric_eq_low_mid_gain;256;1;1
fx1_parametric_eq_high_mid_freq;257;1;1
fx1_parametric_eq_high_mid_q;258;1;1
fx1_parametric_eq_high_mid_gain;259;1;1
fx1_parametric_eq_high_gain;260;1;1
fx1_parametric_eq_high_cut;261;1;1
fx1_parametric_eq_level;262;1;1
fx1_tone_modify_type;264;1;1
fx1_tone_modify_reso;265;1;1
fx1_tone_modify_low;266;1;1
fx1_tone_modify_high;267;1;1
fx1_tone_modify_level;268;1;1
fx1_guitar_sim_type;270;1;1
fx1_guitar_sim_low;271;1;1
fx1_guitar_sim_high;272;1;1
fx1_guitar_sim_level;273;1;1
fx1_guitar_sim_body;274;1;1
fx1_slow_gear_sens;276;1;1
fx1_slow_gear_rise_time;277;1;1
fx1_slow_gear_level;278;1;1
fx1_defretter_tone;280;1;1
fx1_defretter_sens;281;1;1
fx1_defretter_attack;282;1;1
fx1_defretter_depth;283;1;1
fx1_defretter_reso;284;1;1
fx1_defretter_effect_level;285;1;1
fx1_defretter_direct_mix;286;1;1
fx1_wave_synth_wave;288;1;1
fx1_wave_synth_cutoff;289;1;1
fx1_wave_synth_reso;290;1;1
fx1_wave_synth_filter_sens;291;1;1
fx1_wave_synth_filter_decay;292;1;1
fx1_wave_synth_filter_depth;293;1;1
fx1_wave_synth_synth_level;294;1;1
fx1_wave_synth_direct_mix;295;1;1
fx1_sitar_sim_tone;297;1;1
fx1_sitar_sim_sens;298;1;1
fx1_sitar_sim_depth;299;1;1
fx1_sitar_sim_reso;300;1;1
fx1_sitar_sim_buzz;301;1;1
fx1_sitar_sim_effect_level;302;1;1
fx1_sitar_sim_direct_mix;303;1;1
fx1_octave_range;305;1;1
fx1_octave_level;306;1;1
fx1_octave_direct_mix;307;1;1
fx1_pitch_shifter_voice;309;1;1
fx1_pitch_shifter_ps1mode;310;1;1
fx1_pitch_shifter_ps1pitch;311;1;1
fx1_pitch_shifter_ps1fine;312;1;1
fx1_pitch_shifter_ps1pre_dly;313;2;1
fx1_pitch_shifter_ps1level;315;1;1
fx1_pitch_shifter_ps2mode;316;1;1
fx1_pitch_shifter_ps2pitch;317;1;1
fx1_pitch_shifter_ps2fine;318;1;1
fx1_pitch_shifter_ps2pre_dly;319;2;1
fx1_pitch_shifter_ps2level;321;1;1
fx1_pitch_shifter_ps1f_back;322;1;1
fx1_pitch_shifter_direct_mix;323;1;1
fx1_harmonist_voice;325;1;1
